"date","time","in_out","ID1","behavior"
"20/11/2017","12:04:22","in","Moniek","infant-walk"
"20/11/2017","12:05:08","in","Moniek","infant-walk"
"20/11/2017","12:15:30","in","Morami","infant-walk"
"20/11/2017","12:18:27","in","Morami","infant-walk"
"20/11/2017","12:29:54","in","Morami","infant-walk"
"20/11/2017","12:35:18","in","Morami","infant-walk"
"20/11/2017","13:19:29","in","Morami","infant-walk"
"21/11/2017","10:12:36","in","Morami","infant-walk"
"21/11/2017","10:16:00","in","Morami","infant-walk"
"21/11/2017","10:16:23","in","Moniek","infant-walk"
"21/11/2017","10:22:01","in","Morami","infant-walk"
"21/11/2017","10:23:32","in","Morami","infant-walk"
"21/11/2017","10:23:36","in","Moniek","infant-walk"
"21/11/2017","10:27:47","in","Morami","infant-walk"
"21/11/2017","10:27:59","in","Moniek","infant-walk"
"23/11/2017","11:22:46","in","Moni","infant-walk"
"23/11/2017","11:25:10","in","Moni","infant-walk"
"23/11/2017","11:26:15","in","Moni","infant-walk"
"23/11/2017","11:26:57","in","Moni","infant-walk"
"23/11/2017","11:57:06","in","Morami","infant-walk"
"23/11/2017","11:57:44","in","Morami","infant-walk"
"24/11/2017","14:02:37","in","Morami","infant-walk"
"24/11/2017","14:06:00","in","Morami","infant-walk"
"24/11/2017","14:06:47","in","Morami","infant-walk"
"24/11/2017","14:15:52","in","Morami","infant-walk"
"24/11/2017","14:49:13","in","Morami","infant-walk"
"24/11/2017","14:50:16","in","Tushi","infant-walk"
"24/11/2017","14:51:47","in","Gaby","infant-walk"
"27/11/2017","14:59:26","in","Tushi","infant-walk"
"27/11/2017","15:09:52","in","Tushi","infant-walk"
"27/11/2017","15:11:34","in","Tushi","infant-walk"
"27/11/2017","15:25:23","in","Tushi","infant-walk"
"27/11/2017","15:43:02","in","Tushi","infant-walk"
"30/11/2017","11:24:46","in","Raimee","infant-walk"
"01/12/2017","9:56:52","in","Morami","infant-walk"
"01/12/2017","9:57:48","in","Morami","infant-walk"
"01/12/2017","10:02:35","in","Morami","infant-walk"
"04/12/2017","9:31:29","in","Moni","infant-walk"
"04/12/2017","9:36:22","in","Morami","infant-walk"
"04/12/2017","9:48:21","in","Morami","infant-walk"
"04/12/2017","9:48:35","in","Moniek","infant-walk"
"04/12/2017","10:02:39","in","Morami","infant-walk"
"04/12/2017","10:03:12","in","Morami","infant-walk"
"04/12/2017","10:05:57","in","Morami","infant-walk"
"07/12/2017","9:11:45","out","Morami","infant-walk"
"07/12/2017","9:12:16","out","Morami","infant-walk"
"07/12/2017","9:14:21","out","Tushi","infant-walk"
"07/12/2017","9:14:48","out","Tushi","infant-walk"
"07/12/2017","9:18:38","out","Tushi","infant-walk"
"07/12/2017","9:21:02","out","Moni","infant-walk"
"07/12/2017","9:21:42","out","Morami","infant-walk"
"07/12/2017","9:21:51","out","Moniek","infant-walk"
"07/12/2017","9:23:15","out","Tesua","infant-walk"
"07/12/2017","9:23:24","out","Moniek","infant-walk"
"07/12/2017","9:24:24","out","Moni","infant-walk"
"07/12/2017","9:55:03","in","Morami","infant-walk"
"07/12/2017","9:57:42","in","Morami","infant-walk"
"08/12/2017","14:28:21","in","Morami","infant-walk"
"11/12/2017","11:15:32","in","Tushi","infant-walk"
"11/12/2017","11:38:50","in","Moni","infant-walk"
"14/12/2017","12:04:44","in","Moniek","infant-walk"
"15/12/2017","11:15:41","in","Moni","infant-walk"
"15/12/2017","11:19:33","in","Morami","infant-walk"
"08/01/2018","11:56:52","in","Moniek","infant-walk"
"09/01/2018","15:51:40","in","Tushi","infant-walk"
"11/01/2018","11:46:28","out","Morami","infant-walk"
"11/01/2018","11:46:34","out","Roosje","infant-walk"
"11/01/2018","11:48:52","out","Moniek","infant-walk"
"11/01/2018","11:50:55","out","Moniek","infant-walk"
"11/01/2018","12:10:07","in","Moniek","infant-walk"
"11/01/2018","12:12:38","out","Moniek","infant-walk"
"11/01/2018","13:03:31","out","Roosje","infant-walk"
