"date","time","scan","ID1","behavior","ID2"
"20/11/2017","12:00:26",1,"Ghineau","marginal-contact","Raimee"
"20/11/2017","12:00:31",1,"Tushi","marginal-contact","Gaby"
"20/11/2017","12:00:41",1,"Giambo","marginal-contact","Tushi"
"20/11/2017","12:00:46",1,"Gaby","marginal-contact","Fons"
"20/11/2017","12:10:06",2,"Tushi","marginal-contact","Giambo"
"20/11/2017","12:10:10",2,"Tushi","marginal-contact","Gaby"
"20/11/2017","12:10:13",2,"Gaby","marginal-contact","Giambo"
"20/11/2017","12:10:17",2,"Gaby","marginal-contact","Tesua"
"20/11/2017","12:20:11",3,"Tushi","marginal-contact","Gaby"
"20/11/2017","12:20:16",3,"Tushi","marginal-contact","Giambo"
"20/11/2017","12:20:24",3,"Gaby","marginal-contact","Tesua"
"20/11/2017","12:20:27",3,"Tesua","marginal-contact","Fons"
"20/11/2017","12:30:05",4,"Tushi","marginal-contact","Gaby"
"20/11/2017","12:30:17",4,"Tushi","marginal-contact","Giambo"
"20/11/2017","12:30:21",4,"Gaby","marginal-contact","Tesua"
"20/11/2017","12:30:25",4,"Tesua","marginal-contact","Fons"
"20/11/2017","12:40:08",5,"Roosje","body-contact","Jimmie"
"20/11/2017","12:40:21",5,"Gaby","marginal-contact","Fons"
"20/11/2017","12:40:25",5,"Giambo","marginal-contact","Fons"
"20/11/2017","12:40:33",5,"Fons","body-contact","Jing"
"20/11/2017","12:40:38",5,"Moni","body-contact","Ghineau"
"20/11/2017","12:50:10",6,"Ghineau","marginal-contact","Moni"
"20/11/2017","12:50:13",6,"Giambo","marginal-contact","Moni"
"20/11/2017","12:50:27",6,"Gaby","marginal-contact","Roosje"
"20/11/2017","12:50:33",6,"Gaby","body-contact","Tesua"
"20/11/2017","12:50:37",6,"Tesua","marginal-contact","Roosje"
"20/11/2017","12:50:47",6,"Tushi","marginal-contact","Giambo"
"20/11/2017","12:50:50",6,"Tushi","marginal-contact","Moni"
"20/11/2017","12:50:54",6,"Tushi","marginal-contact","Morami"
"20/11/2017","13:00:10",7,"Tushi","body-contact","Giambo"
"20/11/2017","13:00:14",7,"Giambo","marginal-contact","Gaby"
"20/11/2017","13:00:18",7,"Giambo","body-contact","Roosje"
"20/11/2017","13:00:28",7,"Ghineau","marginal-contact","Moni"
"20/11/2017","13:00:33",7,"Ghineau","marginal-contact","Roosje"
"20/11/2017","13:00:44",7,"Raimee","marginal-contact","Giambo"
"20/11/2017","13:00:52",7,"Erika","body-contact","Tesua"
"20/11/2017","13:10:17",8,"Giambo","body-contact","Tesua"
"20/11/2017","13:10:40",8,"Erika","marginal-contact","Moni"
"20/11/2017","13:10:47",8,"Erika","marginal-contact","Geisha"
"20/11/2017","13:11:38",8,"Ghineau","marginal-contact","Moni"
"20/11/2017","13:20:16",9,"Moniek","marginal-contact","Jimmie"
"20/11/2017","13:20:23",9,"Roosje","body-contact","Giambo"
"20/11/2017","13:20:40",9,"Giambo","body-contact","Tushi"
"20/11/2017","13:20:57",9,"Raimee","marginal-contact","Moni"
"20/11/2017","13:30:07",10,"Moni","marginal-contact","Geisha"
"20/11/2017","13:30:11",10,"Moni","marginal-contact","Raimee"
"20/11/2017","13:30:26",10,"Geisha","marginal-contact","Erika"
"20/11/2017","13:30:32",10,"Roosje","body-contact","Giambo"
"20/11/2017","13:30:36",10,"Giambo","marginal-contact","Tushi"
"20/11/2017","13:30:41",10,"Giambo","marginal-contact","Gaby"
"21/11/2017","10:00:09",1,"Ghineau","marginal-contact","Raimee"
"21/11/2017","10:00:20",1,"Raimee","marginal-contact","Tushi"
"21/11/2017","10:10:26",2,"Tushi","marginal-contact","Gaby"
"21/11/2017","10:10:31",2,"Gaby","marginal-contact","Raimee"
"21/11/2017","10:10:37",2,"Tesua","marginal-contact","Raimee"
"21/11/2017","10:10:46",2,"Jing","marginal-contact","Moniek"
"21/11/2017","10:11:08",2,"Moniek","marginal-contact","Roosje"
"21/11/2017","10:11:11",2,"Roosje","marginal-contact","Jing"
"21/11/2017","10:11:14",2,"Morami","marginal-contact","Erika"
"21/11/2017","10:20:05",3,"Gaby","body-contact","Raimee"
"21/11/2017","10:20:12",3,"Raimee","body-contact","Tushi"
"21/11/2017","10:20:19",3,"Erika","marginal-contact","Morami"
"21/11/2017","10:20:21",3,"Erika","marginal-contact","Moniek"
"21/11/2017","10:20:23",3,"Morami","marginal-contact","Moniek"
"21/11/2017","10:30:18",4,"Geisha","marginal-contact","Tesua"
"21/11/2017","10:30:23",4,"Roosje","body-contact","Jimmie"
"21/11/2017","10:30:29",4,"Giambo","marginal-contact","Raimee"
